,name,company,year,Price,kms_driven,fuel_type
720,MahindraKUV100,Mahindra,2018,560000,8000,Diesel
721,FordEcoSport,Ford,2014,590000,34000,Diesel
722,HindustanMotors,Hindustan,1995,750000,37000,Petrol
723,FordFusion,Ford,2007,125000,85455,Diesel
724,HyundaiSantro,Hyundai,2007,135000,46000,Petrol
725,HyundaiSantro,Hyundai,2002,60000,47000,Petrol
726,FiatLinea,Fiat,2009,120000,64000,Petrol
727,FordIkon,Ford,2008,95000,46000,Petrol
728,MarutiSuzuki,Maruti,2017,240000,8000,Petrol
729,TataIndica,Tata,2012,115000,64000,Diesel
730,MahindraScorpio,Mahindra,2015,795000,63000,Diesel
731,HyundaiSantro,Hyundai,2007,55000,65000,Petrol
732,MahindraXylo,Mahindra,2009,300000,62000,Diesel
733,HyundaiGrand,Hyundai,2014,320000,41000,Petrol
734,MarutiSuzuki,Maruti,2015,265000,14000,Petrol
735,ToyotaCorolla,Toyota,2006,160000,40000,Petrol
736,HyundaiEon,Hyundai,2017,300000,1600,Petrol
737,TataSumo,Tata,2010,130000,90000,Diesel
738,MarutiSuzuki,Maruti,2011,250000,58000,Diesel
739,VolkswagenPolo,Volkswagen,2013,380000,27000,Petrol
740,MarutiSuzuki,Maruti,2003,42000,60000,Petrol
741,TataTiago,Tata,2017,400000,31000,Petrol
742,MarutiSuzuki,Maruti,2009,120000,90000,Diesel
743,MarutiSuzuki,Maruti,2009,120000,90000,Diesel
744,TataIndigo,Tata,2016,130000,150000,Diesel
745,ChevroletBeat,Chevrolet,2014,189000,31000,Diesel
746,MahindraXylo,Mahindra,2011,365000,43000,Diesel
747,HyundaiEon,Hyundai,2013,170000,20000,Petrol
748,TataSumo,Tata,2013,215000,100000,Petrol
749,TataNano,Tata,2013,60000,7000,Petrol
750,HyundaiElite,Hyundai,2017,599999,31000,Petrol
751,Hyundaii10,Hyundai,2009,400000,33000,Petrol
752,HyundaiCreta,Hyundai,2016,900000,60000,Diesel
753,VolkswagenPolo,Volkswagen,2013,299999,48000,Diesel
754,MarutiSuzuki,Maruti,2014,374999,33000,Petrol
755,TataBolt,Tata,2015,600000,15000,Petrol
756,MarutiSuzuki,Maruti,2005,70000,47000,Petrol
757,MarutiSuzuki,Maruti,2005,100000,40000,Petrol
758,MarutiSuzuki,Maruti,2010,150000,38000,Diesel
759,MarutiSuzuki,Maruti,2017,225000,12500,Petrol
760,MarutiSuzuki,Maruti,2009,210000,42000,Petrol
761,Hyundaii20,Hyundai,2014,425000,31000,Petrol
762,MarutiSuzuki,Maruti,2008,162000,60000,Diesel
763,TataIndica,Tata,2005,60000,80000,Diesel
764,MahindraScorpio,Mahindra,2014,650000,77000,Diesel
765,ToyotaInnova,Toyota,2012,750000,75000,Diesel
766,MahindraXylo,Mahindra,2010,375000,40000,Diesel
767,Hyundaii20,Hyundai,2011,230000,47000,Petrol
768,MarutiSuzuki,Maruti,2000,35999,60000,Petrol
769,MahindraKUV100,Mahindra,2016,380000,26500,Petrol
770,MahindraKUV100,Mahindra,2019,560000,2875,Petrol
771,DatsunGo,Datsun,2016,285000,13900,Petrol
772,FordEndeavor,Ford,2019,2900000,9000,Diesel
773,TataIndica,Tata,2005,39999,80000,Diesel
774,HyundaiSantro,Hyundai,2006,85000,60000,Petrol
775,MarutiSuzuki,Maruti,2016,395000,20000,Petrol
776,MarutiSuzuki,Maruti,2008,175000,58000,Diesel
777,MarutiSuzuki,Maruti,2019,400000,1500,Petrol
778,ToyotaInnova,Toyota,2011,750000,75000,Diesel
779,MarutiSuzuki,Maruti,2016,250000,2450,Petrol
780,MarutiSuzuki,Maruti,2019,425000,1625,Petrol
781,VolkswagenPolo,Volkswagen,2017,525000,45000,Petrol
782,MahindraLogan,Mahindra,2009,130000,65000,Diesel
783,MarutiSuzuki,Maruti,2000,30000,33400,Petrol
784,MahindraScorpio,Mahindra,2011,475000,60123,Diesel
785,ChevroletSail,Chevrolet,2013,300000,28000,Petrol
786,HyundaiSantro,Hyundai,2003,60000,70000,Petrol
787,MarutiSuzuki,Maruti,2006,100000,7000,Petrol
